sliding_window_size,time_in_advance(ms),weights,ROC_AUC,std_of_ROC_AUC,PR_AUC,std_of_PR_AUC,precision,std_of_precision,recall,std_of_recall,,
1500,1300,1:1,0.9699,0.0014,0.9683,0.0017,0.5791,0.0532,0.0779,0.0338,,
1500,1300,1:10,0.8541,0.041,0.8542,0.0441,0.2067,0.0192,0.7444,0.0468,,
1500,1300,1:50,0.3939,0.0643,0.4401,0.0413,0.1104,0.0074,0.9619,0.0161,,
1500,1500,1:1,0.9711,,,,,,,,,
1500,1500,1:10,0.8684,,,,,,,,,
1500,1500,1:50,0.4013,,,,,,,,,
1500,1700,1:1,0.9701,,,,,,,,,
1500,1700,1:10,0.8677,,,,,,,,,
1500,1700,1:50,0.3342,,,,,,,,,
1500,1900,1:1,0.9693,,,,,,,,,
1500,1900,1:10,0.8592,,,,,,,,,
1500,1900,1:50,0.3597,,,,,,,,,
1500,2100,1:1,0.9684,,,,,,,,,
1500,2100,1:10,0.8457,,,,,,,,,
1500,2100,1:50,0.3223,,,,,,,,,
2000,300,1:1,0.9996,0.0002,0.9995,0.0002,0.9648,0.0296,0.9894,0.0093,,
2000,300,1:10,0.999,0.0008,0.9987,0.001,0.9327,0.0288,0.999,0.0011,,
2000,300,1:50,0.9976,0.0013,0.9969,0.0017,0.8842,0.032,0.9992,0.0011,,
2000,500,1:1,0.9987,0.0004,0.9986,0.0004,0.9017,0.0216,0.9513,0.0071,,
2000,500,1:10,0.9955,0.0016,0.9951,0.0017,0.7632,0.0376,0.9912,0.0052,,
2000,500,1:50,0.986,0.0054,0.984,0.0059,0.6455,0.0524,0.9959,0.0046,,
2000,700,1:1,0.9916,0.0009,0.9918,0.0009,0.7322,0.0247,0.8001,0.0386,,
2000,700,1:10,0.9699,0.0075,0.9711,0.0072,0.4979,0.037,0.9767,0.0092,,
2000,700,1:50,0.9223,0.0149,0.9223,0.0146,0.3777,0.0239,0.9924,0.0036,,
2000,900,1:1,0.9773,0.0014,0.9776,0.0014,0.6478,0.038,0.4861,0.0542,,
2000,900,1:10,0.8909,0.0211,0.8959,0.0205,0.3328,0.0233,0.9284,0.0242,,
2000,900,1:50,0.7073,0.0343,0.6913,0.0364,0.2335,0.0109,0.976,0.0084,,
2000,1100,1:1,0.9664,0.0013,0.9665,0.0016,0.6562,0.0545,0.3394,0.0694,,
2000,1100,1:10,0.8377,0.0283,0.8447,0.0265,0.2787,0.0194,0.8726,0.0274,,
2000,1100,1:50,0.5189,0.0793,0.5315,0.0611,0.178,0.0164,0.9752,0.0116,,
2000,1300,1:1,0.9594,0.0026,0.9586,0.0033,0.62,0.0424,0.2744,0.0486,,
2000,1300,1:10,0.8223,0.043,0.821,0.0458,0.2809,0.0293,0.8202,0.0452,,
2000,1300,1:50,0.4228,0.073,0.4663,0.0537,0.1612,0.0115,0.972,0.0163,,
2000,1500,1:1,0.9588,,,,,,,,,
2000,1500,1:10,0.7867,,,,,,,,,
2000,1500,1:50,0.4269,,,,,,,,,
2000,1700,1:1,0.9571,,,,,,,,,
2000,1700,1:10,0.7946,,,,,,,,,
2000,1700,1:50,0.3444,,,,,,,,,
2000,1900,1:1,0.9563,,,,,,,,,
2000,1900,1:10,0.7789,,,,,,,,,
2000,1900,1:50,0.344,,,,,,,,,
2000,2100,1:1,0.9551,,,,,,,,,
2000,2100,1:10,0.7686,,,,,,,,,
2000,2100,1:50,0.3319,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
